segment_id,segment_name,district,mapping_method,confidence,midpoint_latitude,midpoint_longitude,distance_m,estimated_travel_time_s,road_type,walkable,population,population_density,total_reported_cases,cases_per_100k,severity_weighted_cases_per_100k,recent_cases_per_100k,recent_severity_per_100k,crime_trend_slope,historical_baseline,lighting_score,cctv_coverage_score,footfall_proxy,distance_to_police_m,distance_to_hospital_m,distance_to_medical_facility_m,distance_to_public_toilet_m,distance_to_nearest_amenity_m,nearest_hotspot_distance_m,nearest_hotspot_intensity,has_police_nearby,has_hospital_nearby,has_public_toilet_nearby,lighting_data_synthetic,cctv_data_synthetic,mobility_data_synthetic,hotspot_data_synthetic,representative_hour,time_period,is_night,is_late_night,is_evening_peak,is_weekend,is_peak_hour,base_evening_footfall,contextual_footfall_proxy,temporal_data_synthetic,reduced_activity_context,lighting_relevance,crime_burden_norm,crime_burden_per_100k,crime_grounded_risk_index,target_crime_burden_component,target_temporal_component,target_weekend_component,risk_band,target_type,target_is_observed_crime,target_description,predicted_risk,prediction_error
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.217,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.8398,1511.944,386.6467,373.122,373.122,1601.6145,88.0,True,True,True,True,True,True,True,8,Morning,0,0,0,0,1,4782.0,3108.3,True,0,0.5,1.0,155.0308,72.0,60.0,12.0,0.0,High,crime_grounded_district_temporal_index,True,Severity-weighted NCRB 2021-2023 district crime burden (60%) + criminological temporal multiplier by time-of-day period (40%) + weekend adjustment (5%). District-level aggregate only.,72.08802,-0.08802032470703125
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.217,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.8398,1511.944,386.6467,373.122,373.122,1601.6145,88.0,True,True,True,True,True,True,True,8,Morning,0,0,0,1,1,4782.0,3108.3,True,0,0.5,1.0,155.0308,77.0,60.0,12.0,5.0,High,crime_grounded_district_temporal_index,True,Severity-weighted NCRB 2021-2023 district crime burden (60%) + criminological temporal multiplier by time-of-day period (40%) + weekend adjustment (5%). District-level aggregate only.,76.89229,0.1077117919921875
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.217,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.8398,1511.944,386.6467,373.122,373.122,1601.6145,88.0,True,True,True,True,True,True,True,13,Day,0,0,0,0,0,4782.0,2630.1,True,0,0.5,1.0,155.0308,68.0,60.0,8.0,0.0,High,crime_grounded_district_temporal_index,True,Severity-weighted NCRB 2021-2023 district crime burden (60%) + criminological temporal multiplier by time-of-day period (40%) + weekend adjustment (5%). District-level aggregate only.,68.0638,-0.0637969970703125
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.217,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.8398,1511.944,386.6467,373.122,373.122,1601.6145,88.0,True,True,True,True,True,True,True,13,Day,0,0,0,1,0,4782.0,2630.1,True,0,0.5,1.0,155.0308,73.0,60.0,8.0,5.0,High,crime_grounded_district_temporal_index,True,Severity-weighted NCRB 2021-2023 district crime burden (60%) + criminological temporal multiplier by time-of-day period (40%) + weekend adjustment (5%). District-level aggregate only.,72.96588,0.03411865234375
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.217,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.8398,1511.944,386.6467,373.122,373.122,1601.6145,88.0,True,True,True,True,True,True,True,19,Evening,0,0,1,0,1,4782.0,4782.0,True,0,0.5,1.0,155.0308,80.0,60.0,20.0,0.0,High,crime_grounded_district_temporal_index,True,Severity-weighted NCRB 2021-2023 district crime burden (60%) + criminological temporal multiplier by time-of-day period (40%) + weekend adjustment (5%). District-level aggregate only.,79.93143,0.068572998046875
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.217,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.8398,1511.944,386.6467,373.122,373.122,1601.6145,88.0,True,True,True,True,True,True,True,19,Evening,0,0,1,1,1,4782.0,4782.0,True,0,0.5,1.0,155.0308,85.0,60.0,20.0,5.0,High,crime_grounded_district_temporal_index,True,Severity-weighted NCRB 2021-2023 district crime burden (60%) + criminological temporal multiplier by time-of-day period (40%) + weekend adjustment (5%). District-level aggregate only.,85.06615,-0.0661468505859375
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.217,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.8398,1511.944,386.6467,373.122,373.122,1601.6145,88.0,True,True,True,True,True,True,True,23,Night,1,0,0,0,0,4782.0,1673.7,True,1,1.0,1.0,155.0308,92.0,60.0,32.0,0.0,High,crime_grounded_district_temporal_index,True,Severity-weighted NCRB 2021-2023 district crime burden (60%) + criminological temporal multiplier by time-of-day period (40%) + weekend adjustment (5%). District-level aggregate only.,92.05093,-0.05092620849609375
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.217,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.8398,1511.944,386.6467,373.122,373.122,1601.6145,88.0,True,True,True,True,True,True,True,23,Night,1,0,0,1,0,4782.0,1673.7,True,1,1.0,1.0,155.0308,97.0,60.0,32.0,5.0,High,crime_grounded_district_temporal_index,True,Severity-weighted NCRB 2021-2023 district crime burden (60%) + criminological temporal multiplier by time-of-day period (40%) + weekend adjustment (5%). District-level aggregate only.,96.8322,0.1678009033203125
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.217,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.8398,1511.944,386.6467,373.122,373.122,1601.6145,88.0,True,True,True,True,True,True,True,2,Late Night,1,1,0,0,0,4782.0,956.4,True,1,1.0,1.0,155.0308,100.0,60.0,40.0,0.0,High,crime_grounded_district_temporal_index,True,Severity-weighted NCRB 2021-2023 district crime burden (60%) + criminological temporal multiplier by time-of-day period (40%) + weekend adjustment (5%). District-level aggregate only.,99.81496,0.1850433349609375
1001,Connaught Place to Janpath,New Delhi,midpoint/locality administrative mapping,high,28.629,77.217,950,76,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,74,78,4782,480.8398,1511.944,386.6467,373.122,373.122,1601.6145,88.0,True,True,True,True,True,True,True,2,Late Night,1,1,0,1,0,4782.0,956.4,True,1,1.0,1.0,155.0308,100.0,60.0,40.0,5.0,High,crime_grounded_district_temporal_index,True,Severity-weighted NCRB 2021-2023 district crime burden (60%) + criminological temporal multiplier by time-of-day period (40%) + weekend adjustment (5%). District-level aggregate only.,100.0,0.0
1002,Janpath to Tuglak Road,New Delhi,midpoint/locality administrative mapping,high,28.6147,77.2131,2400,192,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,81,73,1938,1185.4769,1470.7234,1470.7234,1453.2194,1453.2194,3170.8735,88.0,False,True,False,True,True,True,True,8,Morning,0,0,0,0,1,1938.0,1259.7,True,0,0.5,1.0,155.0308,72.0,60.0,12.0,0.0,High,crime_grounded_district_temporal_index,True,Severity-weighted NCRB 2021-2023 district crime burden (60%) + criminological temporal multiplier by time-of-day period (40%) + weekend adjustment (5%). District-level aggregate only.,72.10512,-0.1051177978515625
